"country","happinessRank","score","pop2020"
"Finland","1","7.8090","5540.7200"
"Denmark","2","7.6460","5792.2020"
"Switzerland","3","7.5600","8654.6220"
"Iceland","4","7.5040","341.2430"
"Norway","5","7.4880","5421.2410"
"Netherlands","6","7.4490","17134.8720"
"Sweden","7","7.3530","10099.2650"
"New Zealand","8","7.3000","4822.2330"
"Austria","9","7.2940","9006.3980"
"Luxembourg","10","7.2380","625.9780"
"Canada","11","7.2320","37742.1540"
"Australia","12","7.2230","25499.8840"
"United Kingdom","13","7.1650","67886.0110"
"Israel","14","7.1290","8655.5350"
"Costa Rica","15","7.1210","5094.1180"
"Ireland","16","7.1290","4937.7860"
"Germany","17","7.0760","83783.9420"
"United States","18","6.9400","331002.6510"
"Czech Republic","19","6.9110","10708.9810"
"Belgium","20","6.8640","11589.6230"
"United Arab Emirates","21","6.7910","9890.4020"
"Malta","22","6.7730","441.5430"
"France","23","6.6640","65273.5110"
"Mexico","24","6.4650","128932.7530"
"Taiwan","25","6.4550","23816.7750"
"Uruguay","26","6.4400","3473.7300"
"Saudi Arabia","27","6.4060","34813.8710"
"Spain","28","6.4010","46754.7780"
"Guatemala","29","6.3990","17915.5680"
"Italy","30","6.3870","60461.8260"
"Singapore","31","6.3770","5850.3420"
"Brazil","32","6.3760","212559.4170"
"Slovenia","33","6.3630","2078.9380"
"El Salvador","34","6.3480","6486.2050"
"Panama","36","6.3050","4314.7670"
"Slovakia","37","6.2810","5459.6420"
"Uzbekistan","38","6.2580","33469.2030"
"Chile","39","6.2280","19116.2010"
"Bahrain","40","6.2270","1701.5750"
"Lithuania","41","6.2150","2722.2890"
"Trinidad and Tobago","42","6.1920","1399.4880"
"Poland","43","6.1860","37846.6110"
"Colombia","44","6.1630","50882.8910"
"Cyprus","45","6.1590","1207.3590"
"Nicaragua","46","6.1370","6624.5540"
"Romania","47","6.1240","19237.6910"
"Kuwait","48","6.1020","4270.5710"
"Mauritius","49","6.1010","1271.7680"
"Kazakhstan","50","6.0580","18776.7070"
"Estonia","51","6.0220","1326.5350"
"Philippines","52","6.0060","109581.0780"
"Hungary","53","6","9660.3510"
"Thailand","54","5.9990","69799.9780"
"Argentina","55","5.9750","45195.7740"
"Honduras","56","5.9530","9904.6070"
"Latvia","57","5.9500","1886.1980"
"Ecuador","58","5.9250","17643.0540"
"Portugal","59","5.9110","10196.7090"
"Jamaica","60","5.8900","2961.1670"
"South Korea","61","5.8720","51269.1850"
"Japan","62","5.8710","126476.4610"
"Peru","63","5.7970","32971.8540"
"Serbia","64","5.7780","8737.3710"
"Bolivia","65","5.7470","11673.0210"
"Pakistan","66","5.6930","220892.3400"
